,1,2,3
0.28,1.8315183734201633e-07,1.943269467428455e-08,5.127001107788507e-14
0.29,1.8898378491137823e-07,2.059976654356023e-08,5.75732494558917e-14
0.3,1.9499424279966979e-07,2.183451353330728e-08,6.463771233735313e-14
0.31,2.01188427392624e-07,2.3140707026849844e-08,7.255360333644219e-14
0.32,2.0757169920361057e-07,2.4522319158689305e-08,8.142160079849326e-14
0.33,2.141495665850424e-07,2.598353293667804e-08,9.135404803214156e-14
0.34,2.2092768952680535e-07,2.7528752841837275e-08,1.0247627565525786e-13
0.35000000000000003,2.2791188354342802e-07,2.916261592650845e-08,1.1492807035062873e-13
0.36,2.351081236518124e-07,3.089000343233055e-08,1.2886530583197403e-13
0.37,2.4252254844137495e-07,3.2716052950363764e-08,1.4446175347873096e-13
0.38,2.501614642384474e-07,3.46461711465146e-08,1.6191109192498276e-13
0.39,2.5803134936677984e-07,3.6686047076303904e-08,1.814291368995054e-13
0.4,2.6613885850615355e-07,3.884166611390962e-08,2.0325631482921924e-13
0.41000000000000003,2.744908271509471e-07,4.111932452134987e-08,2.2766040615712797e-13
0.42,2.8309427617070983e-07,4.3525644684622567e-08,2.549395870087159e-13
0.43,2.919564164747109e-07,4.606759104461863e-08,2.8542580079304237e-13
0.44,3.0108465378248987e-07,4.875248675160468e-08,3.1948849457140946e-13
0.45,3.1048659350249663e-07,5.1588031073147944e-08,3.575387585956828e-13
0.46,3.201700457208579e-07,5.4582317586405e-08,4.0003391134179033e-13
0.47000000000000003,3.301430303025197e-07,5.774385318681523e-08,4.474825766748069e-13
0.48,3.4041378210673544e-07,6.108157794635274e-08,5.004503045173066e-13
0.49,3.509907563192446e-07,6.460488585566805e-08,5.595657915930308e-13
0.5,3.6188263390321847e-07,6.832364648563171e-08,6.255277645257732e-13
0.51,3.730983271713763e-07,7.224822760503652e-08,6.991125938400828e-13
0.52,3.846469854813723e-07,7.638951879246704e-08,7.811827142825262e-13
0.53,3.9653800105683186e-07,8.075895608159097e-08,8.726959344214714e-13
0.54,4.0878101493644184e-07,8.536854768054759e-08,9.747157267513712e-13
0.55,4.213859230532934e-07,9.02309008073315e-08,1.0884225985859087e-12
0.56,4.343628824470219e-07,9.535924968460069e-08,1.2151266539556865e-12
0.5700000000000001,4.477223176110893e-07,1.0076748473861571e-07,1.3562814676007186e-12
0.58,4.614749269776762e-07,1.0647018304858965e-07,1.5134994040607456e-12
0.59,4.756316895426284e-07,1.1248264009412065e-07,1.688568527904606e-12
0.6,4.902038716330935e-07,1.1882090284997032e-07,1.883471265412342e-12
0.61,5.052030338202015e-07,1.2550180427896338e-07,2.100404993636536e-12
0.62,5.206410379795264e-07,1.3254299927535717e-07,2.3418047498464133e-12
0.63,5.365300545018611e-07,1.399630021126694e-07,2.6103682730310174e-12
0.64,5.528825696568768e-07,1.4778122545163224e-07,2.9090836095446194e-12
0.65,5.697113931125056e-07,1.560180209655325e-07,3.2412595372827047e-12
0.66,5.870296656124191e-07,1.6469472164195386e-07,3.6105590871306653e-12
0.67,6.048508668147436e-07,1.7383368582179493e-07,4.021036467032758e-12
0.68,6.231888232943656e-07,1.8345834303795764e-07,4.477177723065434e-12
0.6900000000000001,6.420577167117474e-07,1.9359324171813627e-07,4.983945503586802e-12
0.7000000000000001,6.614720921512185e-07,2.0426409881788048e-07,5.546828327105055e-12
0.71,6.814468666312423e-07,2.154978514519627e-07,6.17189479220928e-12
0.72,7.019973377897773e-07,2.2732271059394857e-07,6.865853209004701e-12
0.73,7.231391927474584e-07,2.3976821691584815e-07,7.636117176294579e-12
